"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","678","AUTH-06: Providing incorrect credentials should trigger matching system validation messages","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldShowErrorForInvalidCredentials"
"","2432","PROD-01: Page grid catalog should cleanly load 6 default products","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldDisplayAllSixProducts"
"","744","PROD-03/04: Product grid sorting should organize names cleanly (A to Z vs Z to A)","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldSortProductsAlphabetically"
"","3428","CHKT-01/06: End-to-End purchase flow validating calculations and complete confirmation screen","","2026-06-10","passed","2026-06-10","","org.example.test.CheckoutTest","org.example.test.CheckoutTest","shouldCompletePurchaseFlowSuccessfully"
"","712","AUTH-02: Locked out user should be denied access and see specific warning banner","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldShowErrorForLockedOutUser"
"","613","shouldFailGracefullyWithSanitizedInputProfiles(String, String) AUTH-Boundary: SQL injection or special characters test for user input: invalid_💥_emoji","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldFailGracefullyWithSanitizedInputProfiles"
"","819","CART-03: Removing an added product should cleanly decrement the active global badge tally","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldDecrementCartBadgeOnRemove"
"","618","shouldFailGracefullyWithSanitizedInputProfiles(String, String) AUTH-Boundary: SQL injection or special characters test for user input: or 1=1--","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldFailGracefullyWithSanitizedInputProfiles"
"","769","PROD-05/06: Product sorting should correctly align price elements (Low-to-High vs High-to-Low)","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldSortProductsByPrice"
"","3532","Menu-01: Inventory page menu can open and close","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldHaveBuggerMenuInLeftSideOfThePage"
"","2510","AUTH-01: Valid user should log in successfully and land on the inventory page","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldSuccessfullyLogin"
"","968","CART-01/02: Cart badge integer count should cleanly increment on adding single/multiple items","","2026-06-10","passed","2026-06-10","","org.example.test.InventoryTest","org.example.test.InventoryTest","shouldIncrementCartBadgeOnAdd"
"","1260","AUTH-07/08: Should show sequential errors and error icons for missing credentials","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldShowErrorLoginBlankUserBlankPassword"
"","3047","CART-04/05: Adding items and routing to Cart should maintain product integrity and support items removal","","2026-06-10","passed","2026-06-10","","org.example.test.CartTest","org.example.test.CartTest","shouldVerifyCartItemPersistencesAndRemovalFlows"
"","599","shouldFailGracefullyWithSanitizedInputProfiles(String, String) AUTH-Boundary: SQL injection or special characters test for user input: standard_user","","2026-06-10","passed","2026-06-10","","org.example.test.LoginTest","org.example.test.LoginTest","shouldFailGracefullyWithSanitizedInputProfiles"
